ISBN,Título,Autor,Editorial
9786077350767,Wild Cards 3. Jokers salvajes,"Martin, George R.R.",Océano
9786077351511,Wild Cards 4. El viaje de los Ases,"Martin, George R.R.",Océano
9786077352495,Wild Cards 5. Juego sucio,"Martin, George R.R.",Océano
9786077354611,Wild Cards 6. Un as en la manga,"Martin, George R.R.",Océano
9786077356691,Wild Cards 7. La mano del muerto,"Martin, George R.R./Miller, John J.",Océano
9786077355922,Atlantis. La revelación ,"Blake, Marcus",Océano
9789707771208,"Columna de hierro, La","Caldwell, Taylor",Océano
9786074005530,"Gran León de Dios, El (Nueva edición)","Caldwell, Taylor",Océano
9786074005479,"Tierra del Señor, La (Nueva edición)","Caldwell, Taylor",Océano
9788449440526,"Yo, Judas (Nueva edición)","Caldwell, Taylor",Océano
9786077353782,Puerta Santa Fe,"Cortina, Francisco J.",Océano
9786077354598,"Búsqueda, La","DeMille, Nelson",Océano
9786074003901,"Abogado del Kremlin, El","Echeverría, Manuel",Océano
9789706518347,"Sombra del tiempo, La","Echeverría, Manuel",Océano
9786074000252,Tinieblas del corazón Las,"Echeverría, Manuel",Océano
9789706519481,"Transportes González e Hija, S. A.","Escandón, María Amparo",Océano
9789707773554,Háblame en español,"Ferrer, Eulalio",Océano
9789706516510,Autobiografía precoz,"García Ponce, Juan",Océano
9789706515599,"Entre las líneas, entre las vidas","García Ponce, Juan",Océano
9789706514622,Acapulco,"Garibay, Ricardo",Océano
9789706512307,De vida en vida,"Garibay, Ricardo",Océano
9789706510594,"Joven aquél, El","Garibay, Ricardo",Océano
9789706511584,Lía y Lourdes,"Garibay, Ricardo",Océano
9789706510266,Oficio de leer,"Garibay, Ricardo",Océano
9789686321609,Treinta y cinco mujeres,"Garibay, Ricardo",Océano
9786074009163,"Atlas de las nubes, El","Mitchell, David",Océano
9789706517609,Pu,"Ramírez, Armando",Océano
9789707773585,"Tepiteada, La","Ramírez, Armando",Océano
9786077353225,"Color de los sueños, El","Sepetys, Ruta",Océano
9786074006827,Entre tonos de gris,"Sepetys, Ruta",Océano
9789706515834,Crónica 1,"Garibay, Ricardo",Océano
9789706517234,Crónica 2,"Garibay, Ricardo",Océano
9789706515810,Cuento,"Garibay, Ricardo",Océano
9789706519924,"Inéditos, álbum fotográfico, cronología, índices","Garibay, Ricardo",Océano
9789706515759,Memoria 1,"Garibay, Ricardo",Océano
9789706517265,Memoria 2,"Garibay, Ricardo",Océano
9789706515827,Novela 1,"Garibay, Ricardo",Océano
9789706517241,Novela 2,"Garibay, Ricardo",Océano
9789706519917,Teatro y cine,"Garibay, Ricardo",Océano
9789706517258,Varia,"Garibay, Ricardo",Océano
9786077355182,"Inventores, Los. Cuatro adolescentes inmigrantes, un robot y la batalla por el sueño americano","Davis, Joshua",Océano
9789706519160,M. El enigma de Caravaggio,"Robb, Peter",Océano
9789707770294,Medianoche en Sicilia,"Robb, Peter",Océano
9786077351856,Ágape,"Rossi, Marcelo",Océano
9789706517807,Una brevísima introducción a la filosofía antigua,"Annas, Julia",Océano
9789707772489,Una brevísima introducción a la historia del arte,"Arnold, Dana",Océano
9789706517371,Una brevísima introducción a la historia,"Arnold, John H.",Océano
9789706517784,Una brevísima introducción a la sociología,"Bruce, Steve",Océano
9789706519085,Una brevísima introducción a la psicología,"Butler, Gillian/McManus, Freda ",Océano
9789707772021,Una brevísima introducción al Corán,"Cook, Michael",Océano
9789707771888,Una brevísima introducción a la filosofía,"Craig, Edward",Océano
9789706517791,Una brevísima introducción a la inteligencia,"Deary, Ian J.",Océano
9789707772229,Una brevísima introducción a los medicamentos,"Iversen, Leslie",Océano
9789707772427,Una brevísima introducción al budismo,"Keown, Damien",Océano
9789706517555,Una brevísima introducción a la política,"Minogue, Kenneth",Océano
9789707772410,Una brevísima introducción a la antropología social y cultural,"Monaghan, John /Just, Peter",Océano
9789707772496,Una brevísima introducción a la filosofía de la ciencia,"Okasha, Samir",Océano
9789707772212,Una brevísima introducción a la lógica,"Priest, Graham",Océano
9789706517272,Una brevísima introducción a la Biblia,"Riches, John",Océano
9799707771382,Una brevísima introducción al Islam,"Ruthven, Malise",Océano
9789707774933,Una brevísima introducción al judaísmo,"Solomon, Norman",Océano
9789707774858,Una brevísima introducción a las relaciones internacionales,"Wilkinson, Paul",Océano
9789706515551,Diccionario crítico de las letras mexicanas en el siglo XIX,"Carballo, Emmanuel",Océano
9786074006568,Antología general de la poesía mexicana. De la época prehispánica a nuestros días,"Domingo Argüelles, Juan",Océano
9786077351023,Antología general de la poesía mexicana. Poesía del México actual. De la segunda mitad del siglo XX a nuestros días,"Domingo Argüelles, Juan",Océano
9786077354017,Antología general de la poesía mexicana. Set de 2 volúmenes,"Domingo Argüelles, Juan",Océano
9789706514882,Dos siglos de poesía mexicana,"Domingo Argüelles, Juan",Océano
9789706516718,"Edad de oro, La (incluye CD ROM)","Martí, José",Océano
9789707772465,Diccionario de política latinoamericana contemporánea (Nueva edición),"Nudelman, Ricardo",Océano
9789706518637,Antología general,"Zaid, Gabriel",Océano
9789706516503,Manon Lescaut,Abate Prévost,Océano
9789706516190,Cartas portuguesas,"Alcoforado, Mariana",Océano
9789706515537,"Calandria, La","Delgado, Rafael",Océano
9789706518644,Antología poética,"Díaz Mirón, Salvador",Océano
9789706516329,Tomochic,"Frías, Heriberto",Océano
9689706512119,Santa,"Gamboa, Federico",Océano
9789706513861,Cuentos,"Gutiérrez Nájera, Manuel",Océano
9789706513885,Martín Fierro,"Hernández, José",Océano
9789706515803,Del suicidio. De la inmortalidad del alma,"Hume, David",Océano
9789706514202,Astucia,"Inclán, Luis G.",Océano
9789706518989,Diario de un seductor,"Kierkegaard, Sören",Océano
9789706516770,"Pabellón del vacío, El","Lezama Lima, José",Océano
9789706515445,"Lobo de mar, El","London, Jack",Océano
9789706512277,Historia de la conquista de México,"López de Gomara, Francisco",Océano
9789706515049,Crónicas literarias,"López Velarde, Ramón",Océano
9789706515384,Naufragios,"Núñez Cabeza de Vaca, Álvar",Océano
9789706517883,"Origen de la vida, El","Oparín, A.I.",Océano
9789706518712,Antología,"Othón, Manuel José",Océano
9789706515582,"Arte de amar, El",Ovidio,Océano
9789706518699,México insurgente,"Reed, John",Océano
9789706512376,"Monja, casada, virgen y mártir","Riva Palacio, Vicente",Océano
9789706513120,Elogio de la locura,"Rotterdam, Erasmo de",Océano
9788449419546,Entre el clavel y la espada,"Alberti, Rafael",Océano
9788449421464,Ética y poética,Aristóteles,Océano
9788475058696,Metafísica,Aristóteles,Océano
9788475058962,"Dama del alba, La","Casona, Alejandro",Océano
9788475059075,Prohibido suicidarse en primavera,"Casona, Alejandro",Océano
9788449416491,"Eterno marido, El","Dostoievski, Fiodor",Océano
9788449417047,Prometeo encadenado. Los persas,Esquilo,Océano
9788475058702,Fausto,"Goethe, J. W.",Océano
9788449417832,Werther,"Goethe, J. W.",Océano
9788449415463,Taras Bulba,"Gógol, Nikolái V.",Océano
9788449420672,Canto General I,"Neruda, Pablo",Océano
9788449420689,Canto General II,"Neruda, Pablo",Océano
9788449419713,Apología de Sócrates,Platón,Océano
9788449418853,"Banquete, El/Fedro",Platón,Océano
9788475059013,"Verdad sospechosa, La","Ruiz de Alarcón, Juan",Océano
9788475058191,Hamlet,"Shakespeare, William",Océano
9788449410413,"Mercader de Venecia, El","Shakespeare, William",Océano
9788475058245,Otelo,"Shakespeare, William",Océano
9788449415371,"Rey Lear, El","Shakespeare, William",Océano
9788449418631,"Muerte de Iván Ilich, La","Tolstoi, León",Océano
9788449414268,Antología del cuento universal I,Varios,Océano
9788449414275,Antología del cuento universal II,Varios,Océano
9788449418648,Cándido,Voltaire,Océano
9789706517326,Cómo se aniquila la alegría de aprender,"Closets, Francois de",Océano
9789706517821,"Compro, luego existo","Loaeza, Guadalupe",Océano
9789706514646,"Debo, luego sufro","Loaeza, Guadalupe",Océano
9789706512444,Ellas y nosotras,"Loaeza, Guadalupe",Océano
9789706518767,"Grillos y otras grillas, Los","Loaeza, Guadalupe",Océano
